"lake_name","x_null","y_null","elev","area","depth","LID","region","geomorphic_type","max_depth","depth_measurement","data_quality","area_ha"
"Okareka",335.968,-38.72,342.3,2425871.84,-13,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",242.587184
"Okareka",335.968,-38.72,341.8,2395476.8,-13.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",239.54768
"Okareka",335.968,-38.72,341.3,2364166.08,-14,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",236.416608
"Okareka",335.968,-38.72,340.8,2331694.24,-14.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",233.169424
"Okareka",335.968,-38.72,340.3,2298153.12,-15,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",229.815312
"Okareka",335.968,-38.72,339.8,2264053.6,-15.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",226.40536
"Okareka",335.968,-38.72,339.3,2229895.68,-16,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",222.989568
"Okareka",335.968,-38.72,338.8,2195665.44,-16.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",219.566544
"Okareka",335.968,-38.72,338.3,2161703.04,-17,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",216.170304
"Okareka",335.968,-38.72,337.8,2128323.04,-17.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",212.832304
"Okareka",335.968,-38.72,337.3,2095182.4,-18,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",209.51824
"Okareka",335.968,-38.72,336.8,2062465.92,-18.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",206.246592
"Okareka",335.968,-38.72,336.3,2028644.16,-19,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",202.864416
"Okareka",335.968,-38.72,335.8,1993084.32,-19.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",199.308432
"Okareka",335.968,-38.72,335.3,1957204.16,-20,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",195.720416
"Okareka",335.968,-38.72,334.3,1885203.68,-21,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",188.520368
"Okareka",335.968,-38.72,333.3,1803181.44,-22,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",180.318144
"Okareka",335.968,-38.72,332.3,1732785.6,-23,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",173.27856
"Okareka",335.968,-38.72,331.3,1668072.48,-24,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",166.807248
