67	2
5	685208
4.5	655928
4	620740
3.5	579128
3	542884
2.5	507264
2	470340
1.5	431724
1	393568
0.5	370188
0	304156
-0.2	304088.6
-0.4	304016.6
-0.6	303945.64
-0.8	303876.84
-1	303808.04
-1.2	301388.32
-1.4	298469.92
-1.6	295689.84
-1.8	293197.04
-2	290704.24
-2.2	288429.24
-2.4	286200.44
-2.6	283933.16
-2.8	281585.96
-3	279238.76
-3.2	276747.68
-3.4	274226.08
-3.6	271764.28
-3.8	269426.68
-4	267089.08
-4.2	264899.32
-4.4	262740.92
-4.6	260662.08
-4.8	258748.48
-5	256834.88
-5.5	252668.4
-6	248972.48
-6.5	245635.84
-7	242424.28
-7.5	239357.92
-8	236435.84
-8.5	233523.84
-9	230716
-9.5	227785.8
-10	224790
-10.5	221168.76
-11	215212.96
-11.5	205216.16
-12	191446.24
-12.5	173887.68
-13	162718.76
-13.5	154944.92
-14	148073.4
-14.5	141461.72
-15	134556.96
-15.5	126639.44
-16	111906.8
-16.5	57658.88
-17	25491.88
-17.5	15303.32
-18	11794.4
-18.5	9518.84
-19	6890.2
-19.5	3579.2
-20	1108.28
-20.54	0
