111	2
4.1	57774222
3.1	46219377.6
2.1	34664533.2
1.1	23109688.8
0.1	11554844.4
0	10504404
-0.2	10504399.74
-0.4	10504398.94
-0.6	10504398.14
-0.8	10504397.34
-1	10504396.54
-1.2	10504395.47
-1.4	10504393.87
-1.6	10504392.27
-1.8	10504390.67
-2	10504389.07
-2.2	10504382.46
-2.4	10504365.66
-2.6	10504348.86
-2.8	10504332.06
-3	10504315.26
-3.2	10504274.96
-3.4	10504186.96
-3.6	10504098.96
-3.8	10504010.96
-4	10503922.96
-4.2	10501657.75
-4.4	10494972.15
-4.6	10488286.55
-4.8	10481600.95
-5	10474915.35
-5.5	10413782.13
-6	10336386.13
-6.5	10266272.06
-7	10198824.06
-7.5	10130582.58
-8	10062050.58
-8.5	9990349.02
-9	9917487.02
-9.5	9840045.62
-10	9760927.62
-10.5	9664948.74
-11	9562796.74
-11.5	9433067.37
-12	9293241.37
-12.5	9163372.03
-13	9037148.03
-13.5	8938215.92
-14	8849275.92
-14.5	8773930.62
-15	8703562.62
-15.5	8640709.34
-16	8580607.34
-16.5	8523004.38
-17	8466316.38
-17.5	8410363.31
-18	8354679.31
-18.5	8298370.18
-19	8241832.18
-19.5	8184906.22
-20	8127838.22
-21	8017741.25
-22	7914189.22
-23	7808775.1
-24	7708878.78
-25	7614759.31
-26	7520081.92
-27	7422836.01
-28	7324500.03
-29	7224804.99
-30	7124768.04
-31	7026464.29
-32	6930039.58
-33	6834857.75
-34	6735496.29
-35	6628771.84
-36	6520911.38
-37	6403703.37
-38	6286159.85
-39	6162188.93
-40	6030985.98
-41	5897221.61
-42	5755024.18
-43	5587959.94
-44	5481005.79
-45	5392169.04
-46	5303043.31
-47	5214835.75
-48	5120870.46
-49	5027902.05
-50	4928073.42
-52	4728506.72
-54	4530060.51
-56	4324719.08
-58	4091467.06
-60	3880442.64
-62	3645824.85
-64	3371765.54
-66	3073358.1
-68	2746997.79
-70	2497110.37
-72	2295660.64
-74	2001622.93
-76	1476622
-78	1005079.53
-80	747574.48
-82	607306.76
-84	477210.93
-86	245782
-88	27606.41
-89.13	0
