117	2
4.1	186033540
3.1	148826832
2.1	111620124
1.1	74413416
0.1	37206708
0	33824280
-0.2	33824276.93
-0.4	33824273.86
-0.6	33824270.79
-0.8	33824267.72
-1	33824264.65
-1.2	33824261.58
-1.4	33798796.8
-1.6	33746295.36
-1.8	33693793.92
-2	33641292.48
-2.2	33588791.04
-2.4	33536289.6
-2.6	33483788.16
-2.8	33431286.72
-3	33378785.28
-3.2	33326283.84
-3.4	33273782.4
-3.6	33221280.96
-3.8	33168779.52
-4	33116278.08
-4.2	33063776.64
-4.4	33011275.2
-4.6	32958773.76
-4.8	32906272.32
-5	32853770.88
-5.5	32722517.28
-6	32591263.68
-6.5	32383469.59
-7	32057950.79
-7.5	31732431.99
-8	31406913.19
-8.5	31081394.39
-9	30755875.59
-9.5	30430356.79
-10	30104837.99
-10.5	29779319.19
-11	29453800.39
-11.5	29135131.36
-12	28826997.76
-12.5	28518864.16
-13	28210730.56
-13.5	27902596.96
-14	27594463.36
-14.5	27286329.76
-15	26978196.16
-15.5	26670062.56
-16	26361928.96
-16.5	26104587.16
-17	25925366.76
-17.5	25746146.36
-18	25566925.96
-18.5	25387705.56
-19	25208485.16
-19.5	25029264.76
-20	24850044.36
-21	24491603.56
-22	24104097.3
-23	23703955.7
-24	23303814.1
-25	22903672.5
-26	22503530.9
-27	22189337.21
-28	21912506.81
-29	21635676.41
-30	21358846.01
-31	21082015.61
-32	20623700.35
-33	20086489.95
-34	19549279.55
-35	19012069.15
-36	18474858.75
-37	17759168.96
-38	16965890.56
-39	16172612.16
-40	15379333.76
-41	14586055.36
-42	13776586.48
-43	12960079.28
-44	12143572.08
-45	11327064.88
-46	10510557.68
-47	9872119.48
-48	9311091.48
-49	8750063.48
-50	8189035.48
-52	7039486.46
-54	5838540.86
-56	4637595.26
-58	3710945.95
-60	2833272.35
-62	2109599.51
-64	1673821.91
-66	1238044.31
-68	950307.56
-70	689003.56
-72	480302.98
-74	369941.38
-76	259579.78
-78	215148.67
-80	182489.47
-82	153713.4
-84	132196.6
-86	110679.8
-88	88340.29
-90	65853.89
-92	46556.4
-94	33220.4
-96	19884.4
-98	11800.96
-100	4655.36
-101.3	0
