time,flow
2010-06-30,22.0736676060149
2010-07-01,20.9348612600007
2010-07-02,19.4556244563635
2010-07-03,15.3304470574981
2010-07-04,22.2202652183668
2010-07-05,25.8368648237542
2010-07-06,26.1453705742199
2010-07-07,25.890293958583
2010-07-08,25.6262834803339
2010-07-09,18.073167723306
2010-07-10,14.4154936271072
2010-07-11,14.1374052810217
2010-07-12,14.4332465423207
2010-07-13,14.5918559331879
2010-07-14,14.7484488948258
2010-07-15,19.1411125377166
2010-07-16,24.9891775139226
2010-07-17,26.0126049386833
2010-07-18,26.1114496485402
2010-07-19,26.1694152984416
2010-07-20,23.3537356850078
2010-07-21,29.5026466033004
2010-07-22,31.627880886921
2010-07-23,32.0846383730765
2010-07-24,31.9467929340876
2010-07-25,30.5257491437696
2010-07-26,19.4844004125007
2010-07-27,17.1603811715257
2010-07-28,16.8344016861564
2010-07-29,17.0573092927957
2010-07-30,17.2843122698207
2010-07-31,19.155353033591
2010-08-01,25.9493430605678
2010-08-02,30.3149226668573
2010-08-03,45.1846340115347
2010-08-04,54.7213822121648
2010-08-05,52.0141230877718
2010-08-06,50.3930913227859
2010-08-07,54.2257585517391
2010-08-08,39.4663249239678
2010-08-09,29.5365038943329
2010-08-10,29.4446006340435
2010-08-11,23.4708744103296
2010-08-12,17.742922445713
2010-08-13,44.5121776424379
2010-08-14,62.6997488443683
2010-08-15,65.0182485640516
2010-08-16,67.4699456861879
2010-08-17,69.036301302394
2010-08-18,43.9532390484135
2010-08-19,29.2644329948523
2010-08-20,31.1689371886381
2010-08-21,29.3244377482176
2010-08-22,25.1764577166159
2010-08-23,23.2167117325328
2010-08-24,23.1163789305152
2010-08-25,26.7829613914623
2010-08-26,27.6136256417852
2010-08-27,30.3024088286988
2010-08-28,34.9615300056773
2010-08-29,33.5855529258388
2010-08-30,28.5768737942047
2010-08-31,28.2632262552434
2010-09-01,28.7539236270732
2010-09-02,27.629161367896
2010-09-03,25.8665886272363
2010-09-04,22.8687279152043
2010-09-05,23.8680893032691
2010-09-06,25.2840998664085
2010-09-07,21.7761081803791
2010-09-08,39.2635635345559
2010-09-09,50.8366210134311
2010-09-10,54.7175134610764
2010-09-11,66.7532807572883
2010-09-12,69.0704367962996
2010-09-13,52.6181940327027
2010-09-14,43.8390598727504
2010-09-15,46.7647335188639
2010-09-16,42.8257376632672
2010-09-17,50.9036596878458
2010-09-18,55.4862949007475
2010-09-19,54.7749682847819
2010-09-20,48.6198316857712
2010-09-21,37.991125787336
2010-09-22,29.5851875220199
2010-09-23,24.3092795407207
2010-09-24,24.4722560834588
2010-09-25,22.89327004172
2010-09-26,20.9440636173907
2010-09-27,18.9937790108249
2010-09-28,18.5236181530241
2010-09-29,19.2617172097128
2010-09-30,24.8578621820505
2010-10-01,24.4023464607978
2010-10-02,24.3652093709391
2010-10-03,24.2857392320339
2010-10-04,21.5334214317444
2010-10-05,14.9755753126149
2010-10-06,15.2943846708068
2010-10-07,15.412970351775
2010-10-08,17.5775722055584
2010-10-09,17.4636766497981
2010-10-10,18.6416357521368
2010-10-11,18.1947357908414
2010-10-12,23.7680851595425
2010-10-13,29.4233599295573
2010-10-14,33.7840486907992
2010-10-15,32.4483096448195
2010-10-16,34.7254055896621
2010-10-17,30.6257346039666
2010-10-18,22.5897636888541
2010-10-19,19.1265266780745
2010-10-20,19.3138867572449
2010-10-21,17.533778681139
2010-10-22,15.876701848445
2010-10-23,16.1526912632741
2010-10-24,15.1888030248758
2010-10-25,14.8814563148474
2010-10-26,15.2046101986018
2010-10-27,15.7682423867368
2010-10-28,16.1729303573946
2010-10-29,16.1046818781449
2010-10-30,15.5726940140979
2010-10-31,14.840145181493
2010-11-01,14.2618813424307
2010-11-02,14.3672967868063
2010-11-03,14.7848328181972
2010-11-04,19.4805781482881
2010-11-05,19.9709991323956
2010-11-06,19.9988410207959
2010-11-07,20.0485840353584
2010-11-08,20.3796045760684
2010-11-09,16.3107962599206
2010-11-10,16.1028336279373
2010-11-11,15.9833223819482
2010-11-12,15.0265074026846
2010-11-13,14.0448977906682
2010-11-14,14.3909176502272
2010-11-15,14.9876146832508
2010-11-16,15.0361070252831
2010-11-17,15.3252514455975
2010-11-18,15.5578282457569
2010-11-19,17.5666481243542
2010-11-20,21.8584756936781
2010-11-21,22.430477971068
2010-11-22,25.6205423345467
2010-11-23,30.209712839154
2010-11-24,27.7004513869016
2010-11-25,22.8536521332427
2010-11-26,22.444453115556
2010-11-27,19.5862369242485
2010-11-28,15.4131785505039
2010-11-29,15.6654826863899
2010-11-30,15.6978543681077
2010-12-01,15.9138649916591
2010-12-02,15.8670710325588
2010-12-03,15.6492920720561
2010-12-04,15.2594643261621
2010-12-05,14.5191167139858
2010-12-06,13.7911112374428
2010-12-07,16.2925344429091
2010-12-08,19.9420478097037
2010-12-09,19.8938029809314
2010-12-10,20.1275877217687
2010-12-11,20.6448234745303
2010-12-12,18.5940497085929
2010-12-13,18.8698429965812
2010-12-14,24.2502097714611
2010-12-15,29.0181808872605
2010-12-16,35.1508650830598
2010-12-17,38.644379143628
2010-12-18,52.255072399459
2010-12-19,64.3495183995808
2010-12-20,61.3303771420746
2010-12-21,56.1979655530098
2010-12-22,51.8912313038505
2010-12-23,33.614934847697
2010-12-24,15.6856595299684
2010-12-25,13.9264432365434
2010-12-26,13.0251629816106
2010-12-27,22.1672000507308
2010-12-28,27.5471295223263
2010-12-29,28.1546501946564
2010-12-30,28.6343697410977
2010-12-31,28.3489697594558
2011-01-01,19.4403609320782
2011-01-02,14.6663486975621
