time,flow
2010-06-30,24.8189165007524
2010-07-01,24.4076553975133
2010-07-02,23.8761156304905
2010-07-03,22.2572473616945
2010-07-04,25.5905853258528
2010-07-05,27.5232303623451
2010-07-06,27.7217948508831
2010-07-07,27.6059430904427
2010-07-08,27.4687676965322
2010-07-09,23.9917893778567
2010-07-10,22.0595902402649
2010-07-11,21.8695770262571
2010-07-12,22.0006463090991
2010-07-13,22.0818510058734
2010-07-14,22.1512490827073
2010-07-15,24.1173199500658
2010-07-16,26.7398375927443
2010-07-17,27.1331220515584
2010-07-18,27.1944419744045
2010-07-19,27.2193184355223
2010-07-20,25.9620905554941
2010-07-21,28.6829687985203
2010-07-22,29.4061920637505
2010-07-23,29.4524376700944
2010-07-24,29.4086586257096
2010-07-25,28.7434615916277
2010-07-26,23.6197736189499
2010-07-27,22.7049862047025
2010-07-28,22.6564850222468
2010-07-29,22.7290138307493
2010-07-30,22.893860922305
2010-07-31,23.7879955491084
2010-08-01,26.7649206676765
2010-08-02,28.9287866739968
2010-08-03,36.0903577482299
2010-08-04,40.8000310268774
2010-08-05,39.7473062216791
2010-08-06,38.8884411167543
2010-08-07,40.0868332993873
2010-08-08,32.8461183512258
2010-08-09,27.921072172994
2010-08-10,27.8838795506257
2010-08-11,25.5847200153088
2010-08-12,23.3287758803391
2010-08-13,36.427498349206
2010-08-14,46.6497559927736
2010-08-15,47.608791659099
2010-08-16,48.2602902473923
2010-08-17,47.9355573499016
2010-08-18,35.2627906638374
2010-08-19,26.438681242125
2010-08-20,27.09061566512
2010-08-21,26.5783396793686
2010-08-22,25.7773512020596
2010-08-23,25.3915653674128
2010-08-24,25.4547761929484
2010-08-25,27.6168796114574
2010-08-26,27.8916530801301
2010-08-27,28.5182339005078
2010-08-28,29.9000135782396
2010-08-29,29.1376283350346
2010-08-30,26.6499096366924
2010-08-31,26.6433886644646
2010-09-01,26.944514961926
2010-09-02,26.573057591156
2010-09-03,25.8275186125071
2010-09-04,24.4822742373632
2010-09-05,24.4269050544359
2010-09-06,24.8545576002502
2010-09-07,23.86171497974
2010-09-08,33.458797697129
2010-09-09,39.4513087172155
2010-09-10,41.7394254397886
2010-09-11,47.414025186656
2010-09-12,47.8721729752347
2010-09-13,38.6349563368628
2010-09-14,33.506555722131
2010-09-15,34.7946750446823
2010-09-16,32.1613923158129
2010-09-17,34.6608210864469
2010-09-18,36.0058793053089
2010-09-19,35.4721478962857
2010-09-20,32.1596407542675
2010-09-21,28.4832382056376
2010-09-22,26.1419956329747
2010-09-23,24.6116354741804
2010-09-24,24.8816999377022
2010-09-25,24.5955777189634
2010-09-26,23.9256883514941
2010-09-27,23.3325685768199
2010-09-28,23.264529831972
2010-09-29,23.928127005278
2010-09-30,26.246881866112
2010-10-01,26.1120667264248
2010-10-02,26.0941859542857
2010-10-03,26.0841216368326
2010-10-04,24.9451725040057
2010-10-05,22.3791951010253
2010-10-06,22.4420099370774
2010-10-07,22.4355934923234
2010-10-08,23.093185856317
2010-10-09,22.9904762424723
2010-10-10,23.5032679361237
2010-10-11,23.2834913140671
2010-10-12,26.0653869715378
2010-10-13,29.2432946528422
2010-10-14,31.2419190401773
2010-10-15,30.6943789739505
2010-10-16,31.4626657237056
2010-10-17,29.0441425933607
2010-10-18,25.0823633088574
2010-10-19,23.3205570044193
2010-10-20,23.3003016688421
2010-10-21,22.7623862597242
2010-10-22,22.3892299957591
2010-10-23,22.5344074163625
2010-10-24,22.3289306854314
2010-10-25,22.3068480279747
2010-10-26,22.3920242910711
2010-10-27,22.5552664585045
2010-10-28,22.7579410140385
2010-10-29,22.7454248355461
2010-10-30,22.4991425781054
2010-10-31,22.284114253305
2010-11-01,22.1174048130741
2010-11-02,22.1556372837541
2010-11-03,22.2806443137341
2010-11-04,24.3021047853206
2010-11-05,24.5071195572563
2010-11-06,24.5076577332486
2010-11-07,24.4676359076056
2010-11-08,24.5824532720783
2010-11-09,22.8192367872099
2010-11-10,22.7858099001425
2010-11-11,22.741896216695
2010-11-12,22.3848322831987
2010-11-13,22.0251440839502
2010-11-14,22.1472576445238
2010-11-15,22.4154048307809
2010-11-16,22.4576283117531
2010-11-17,22.5879640828543
2010-11-18,22.7083586378447
2010-11-19,23.6900059887239
2010-11-20,25.4178480899948
2010-11-21,25.8734393806615
2010-11-22,27.5399180573902
2010-11-23,29.7192273889162
2010-11-24,28.5865891395954
2010-11-25,26.5470722643265
2010-11-26,26.1259082313245
2010-11-27,24.5878474000322
2010-11-28,22.5542366201292
2010-11-29,22.651167198011
2010-11-30,22.7203715541266
2010-12-01,22.7779816795073
2010-12-02,22.7033073703739
2010-12-03,22.6297357299079
2010-12-04,22.4443270747361
2010-12-05,22.1362804043811
2010-12-06,21.913727796111
2010-12-07,23.1248533316823
2010-12-08,24.737250869914
2010-12-09,24.7570529587698
2010-12-10,24.8442849090579
2010-12-11,24.9823109009877
2010-12-12,23.9955680863057
2010-12-13,23.5281904373888
2010-12-14,25.7366566309622
2010-12-15,28.0599489758199
2010-12-16,30.9071992363054
2010-12-17,32.4310508311137
2010-12-18,40.445611793178
2010-12-19,46.946933563615
2010-12-20,45.4095098808204
2010-12-21,42.9278609736044
2010-12-22,41.0806782134705
2010-12-23,31.6139461447451
2010-12-24,22.6870856007712
2010-12-25,21.9130315960342
2010-12-26,21.6647426067435
2010-12-27,24.8404166503353
2010-12-28,26.6379340872271
2010-12-29,26.9146951609646
2010-12-30,27.1116293929417
2010-12-31,27.0882638469289
2011-01-01,24.0487313951125
2011-01-02,22.5015600470626
