64	2
4.1	43808864
3.1	35047091.2
2.1	26285318.4
1.1	17523545.6
0.1	8761772.8
0	7965248
-0.2	7965244
-0.4	7965244
-0.6	7965244
-0.8	7965244
-1	7965244
-1.2	7965244
-1.4	7965244
-1.6	7965244
-1.8	7965244
-2	7965244
-2.2	7965244
-2.4	7965244
-2.6	7965244
-2.8	7965244
-3	7965244
-3.2	7965243.98
-3.4	7965242.38
-3.6	7965240.78
-3.8	7965239.18
-4	7965237.58
-4.2	7965235.97
-4.4	7965232.77
-4.6	7965229.57
-4.8	7965228
-5	7965228
-5.5	7965215.92
-6	7965205.58
-6.5	7965172.59
-7	7965079.52
-7.5	7964807.31
-8	7963118.59
-8.5	7941337.65
-9	7813539.84
-9.5	7638899.2
-10	7440145.79
-10.5	7236395.18
-11	7041266.46
-11.5	6821499.06
-12	6536163.82
-12.5	6236342.35
-13	5992834.43
-13.5	5788759.28
-14	5582072.32
-14.5	5390903.57
-15	5238276.37
-15.5	5107400.59
-16	4977205.38
-16.5	4844466.18
-17	4703838.43
-17.5	4533492.1
-18	4332980.61
-18.5	4071531.15
-19	3614563.65
-19.5	2929998.64
-20	2229276.75
-21	697672.32
-22	18495.52
-22.7	0
