time,flow,temp,salt
1980-06-19,0.09879,6.06697,0
1980-06-20,14.94384,6.42249,0
1980-06-21,18.4224,7.13325,0
1980-06-22,0.13636,7.52261,0
1980-06-23,0.13218,7.80053,0
1980-06-24,1.18966,7.94551,0
1980-06-25,1.05469,7.64343,0
1980-06-26,0,6.74721,0
1980-06-27,0.00835,5.68951,0
1980-06-28,0.04453,6.19254,0
1980-06-29,22.8151,7.98681,0
1980-06-30,44.13509,9.82437,0
1980-07-01,1.91446,10.00226,0
1980-07-02,10.24867,9.71953,0
1980-07-03,12.85051,9.01146,0
1980-07-04,1.01451,8.59245,0
1980-07-05,0.47584,8.03979,0
1980-07-06,0.39546,7.60168,0
1980-07-07,3.48243,7.51132,0
1980-07-08,13.04731,7.93642,0
1980-07-09,6.11758,7.77393,0
1980-07-10,3.50461,6.85795,0
1980-07-11,3.1498,5.23576,0
1980-07-12,0.0194,4.90277,0
1980-07-13,2.19719,5.87101,0
1980-07-14,2.6601,6.56495,0
1980-07-15,0.47769,6.05964,0
1980-07-16,0.00277,5.19772,0
1980-07-17,0.00277,4.43141,0
1980-07-18,0.02957,4.41565,0
1980-07-19,2.1473,5.12533,0
1980-07-20,7.39265,6.10879,0
1980-07-21,16.95474,7.29188,0
1980-07-22,13.35128,7.7511,0
1980-07-23,1.04038,8.16166,0
1980-07-24,0.25871,7.39501,0
1980-07-25,0.13305,6.30918,0
1980-07-26,0.06837,5.96949,0
1980-07-27,0.06745,6.27081,0
1980-07-28,0.00092,6.39238,0
1980-07-29,0.05821,5.46566,0
1980-07-30,6.12128,5.24391,0
1980-07-31,29.28909,6.23737,0
1980-08-01,23.45002,6.8766,0
1980-08-02,5.31531,7.13789,0
1980-08-03,1.65263,6.67323,0
1980-08-04,0.6423,7.15931,0
1980-08-05,0.73785,7.60049,0
1980-08-06,2.39225,7.38054,0
1980-08-07,1.88973,6.38461,0
1980-08-08,0.08493,5.64092,0
1980-08-09,0.00885,5.37341,0
1980-08-10,0.00177,5.43682,0
1980-08-11,0.27072,5.8959,0
1980-08-12,2.66828,7.14675,0
1980-08-13,2.69836,8.14652,0
1980-08-14,0.06016,7.97634,0
1980-08-15,15.60798,7.74347,0
1980-08-16,15.76664,6.55812,0
1980-08-17,3.37958,5.54935,0
1980-08-18,0.02654,4.43252,0
1980-08-19,0.39458,5.78665,0
1980-08-20,0.8794,6.8853,0
1980-08-21,2.95315,7.13957,0
1980-08-22,3.03632,7.06608,0
1980-08-23,0.80508,7.85299,0
1980-08-24,0.61222,8.9389,0
1980-08-25,1.00503,9.70179,0
1980-08-26,11.18093,10.39071,0
1980-08-27,35.82357,9.71713,0
1980-08-28,13.38741,8.31692,0
1980-08-29,0.40166,6.9965,0
1980-08-30,1.35537,7.32846,0
1980-08-31,2.81134,8.11194,0
1980-09-01,9.56735,9.17736,0
1980-09-02,6.93757,9.70506,0
1980-09-03,18.03506,10.29052,0
1980-09-04,24.40468,9.99597,0
1980-09-05,3.67107,9.29881,0
1980-09-06,3.29631,8.32696,0
1980-09-07,3.84354,7.76023,0
1980-09-08,3.00325,8.17223,0
1980-09-09,13.7247,9.11185,0
1980-09-10,6.93757,9.23285,0
1980-09-11,1.13854,9.77503,0
1980-09-12,12.05577,9.81813,0
1980-09-13,12.28925,9.33678,0
1980-09-14,1.01664,8.20474,0
1980-09-15,5.43334,7.77061,0
1980-09-16,8.46383,8.50316,0
1980-09-17,3.461,9.57457,0
1980-09-18,12.1959,9.88214,0
1980-09-19,11.27512,10.1832,0
1980-09-20,3.48434,9.93519,0
1980-09-21,1.57943,9.91546,0
1980-09-22,3.84873,10.14879,0
1980-09-23,0.24249,10.47423,0
1980-09-24,0.00259,10.815,0
1980-09-25,0.2399,10.75957,0
1980-09-26,5.5332,10.5533,0
1980-09-27,4.46727,9.73155,0
1980-09-28,2.5079,9.54139,0
1980-09-29,2.03848,9.57515,0
1980-09-30,0.00334,10.76063,0
1980-10-01,0.0167,11.88193,0
1980-10-02,0.18928,12.9319,0
1980-10-03,0.68922,12.86907,0
1980-10-04,1.71915,11.60952,0
1980-10-05,2.72792,10.77412,0
1980-10-06,7.86756,10.66139,0
1980-10-07,8.31182,11.77843,0
1980-10-08,6.1061,12.35947,0
1980-10-09,7.38655,12.86923,0
1980-10-10,13.72984,11.96237,0
1980-10-11,14.73193,11.16667,0
1980-10-12,1.04441,10.23513,0
1980-10-13,0.35964,9.75303,0
1980-10-14,3.32806,10.25083,0
1980-10-15,14.67404,10.51096,0
1980-10-16,19.04649,10.84893,0
1980-10-17,14.53597,10.00421,0
1980-10-18,10.17576,9.74495,0
1980-10-19,6.14618,9.81558,0
1980-10-20,1.35728,10.3361,0
1980-10-21,4.29119,11.07417,0
1980-10-22,0.58233,12.2384,0
1980-10-23,0,12.5149,0
1980-10-24,0,12.8616,0
1980-10-25,0.01559,13.24873,0
1980-10-26,0.01782,13.90003,0
1980-10-27,0.06458,13.91247,0
1980-10-28,12.47942,13.218,0
1980-10-29,10.96957,12.7481,0
1980-10-30,1.59221,12.1378,0
1980-10-31,5.03265,11.95177,0
1980-11-01,2.24448,11.76007,0
1980-11-02,7.37624,12.1674,0
1980-11-03,7.29184,12.52137,0
1980-11-04,36.61234,13.137,0
1980-11-05,6.3546,13.0773,0
1980-11-06,5.86684,12.47567,0
1980-11-07,17.89101,12.63313,0
1980-11-08,27.41458,12.14663,0
1980-11-09,9.97308,11.50926,0
1980-11-10,9.82483,10.00387,0
1980-11-11,3.58703,10.19167,0
1980-11-12,0.9392,11.41011,0
1980-11-13,0.19039,12.5425,0
1980-11-14,0.11679,13.58763,0
1980-11-15,0.98827,13.35587,0
1980-11-16,0.3376,12.75087,0
1980-11-17,0.3749,11.5342,0
1980-11-18,0.29638,12.6131,0
1980-11-19,0.52407,14.4809,0
1980-11-20,0.44948,15.23617,0
1980-11-21,0.11679,14.60547,0
1980-11-22,4.14251,13.2952,0
1980-11-23,4.52821,12.56397,0
1980-11-24,10.54816,11.63193,0
1980-11-25,10.27136,10.5169,0
1980-11-26,4.24752,10.26737,0
1980-11-27,7.8797,10.84067,0
1980-11-28,1.19633,11.56837,0
1980-11-29,27.22908,11.84703,0
1980-11-30,19.52354,11.82507,0
1980-12-01,0.36649,11.7215,0
1980-12-02,0.30012,12.11703,0
1980-12-03,0.19335,12.30583,0
1980-12-04,0.02309,12.92737,0
1980-12-05,8.19698,13.4763,0
1980-12-06,8.29366,13.5865,0
1980-12-07,0.26838,14.0047,0
1980-12-08,7.81174,12.52293,0
1980-12-09,7.07587,12.35343,0
1980-12-10,1.37795,11.94173,0
1980-12-11,1.0735,13.24207,0
1980-12-12,0.20922,14.46947,0
1980-12-13,0.15006,15.9541,0
1980-12-14,0.10966,17.49867,0
1980-12-15,0.00866,17.8015,0
1980-12-16,0.0404,17.85323,0
1980-12-17,0.05772,17.8015,0
1980-12-18,3.93472,17.6293,0
1980-12-19,21.57533,17.19703,0
1980-12-20,10.6066,15.74863,0
1980-12-21,16.99853,14.26093,0
1980-12-22,58.6804,13.25183,0
1980-12-23,30.44755,13.43453,0
1980-12-24,21.3185,14.20607,0
1980-12-25,33.94944,14.7196,0
1980-12-26,31.04923,14.7917,0
1980-12-27,9.13052,14.9651,0
1980-12-28,1.72568,15.44243,0
1980-12-29,7.16533,15.66377,0
1980-12-30,3.87846,15.7795,0
1980-12-31,1.34163,15.9044,0
1981-01-01,1.9052,16.6122,0
1981-01-02,0.56172,17.0422,0
1981-01-03,0.04271,17.37057,0
1981-01-04,0.10027,17.2907,0
1981-01-05,0.12163,17.3062,0
1981-01-06,0.00093,16.80093,0
1981-01-07,1.84206,16.08483,0
1981-01-08,1.84392,15.61823,0
1981-01-09,0.00093,15.49157,0
1981-01-10,3.71012,15.79727,0
1981-01-11,15.7272,16.79503,0
1981-01-12,20.9841,17.41473,0
1981-01-13,9.35889,17.89053,0
1981-01-14,3.27467,17.86977,0
1981-01-15,3.80854,18.36657,0
1981-01-16,0.88668,18.81193,0
1981-01-17,0.75019,18.35297,0
1981-01-18,7.13242,17.5094,0
1981-01-19,59.26631,16.89217,0
1981-01-20,17.15144,17.67963,0
1981-01-21,1.81328,18.52803,0
1981-01-22,3.73055,19.0741,0
1981-01-23,1.19121,19.41523,0
1981-01-24,0.00836,19.42233,0
1981-01-25,0.04642,19.38543,0
1981-01-26,0.00836,19.04127,0
1981-01-27,0.01021,18.6543,0
1981-01-28,0.01114,18.34153,0
1981-01-29,0.44659,18.23147,0
1981-01-30,2.66932,18.61623,0
1981-01-31,23.24239,18.34643,0
1981-02-01,16.43895,17.83247,0
1981-02-02,9.17245,16.7617,0
1981-02-03,4.15755,16.21867,0
1981-02-04,0.00336,15.7932,0
1981-02-05,0.00168,16.09057,0
1981-02-06,2.37574,17.1123,0
1981-02-07,3.36564,16.9913,0
1981-02-08,0.0906,16.79587,0
1981-02-09,1.07211,16.49927,0
1981-02-10,2.99317,17.60523,0
1981-02-11,6.06352,19.00717,0
1981-02-12,18.65532,18.86757,0
1981-02-13,6.15914,17.86377,0
1981-02-14,2.2734,17.20743,0
1981-02-15,0.08389,17.58783,0
1981-02-16,2.11904,17.89287,0
1981-02-17,1.26841,17.24153,0
1981-02-18,0.0906,16.48673,0
1981-02-19,0.05201,16.36277,0
1981-02-20,0.58219,16.3407,0
1981-02-21,0.31375,16.59347,0
1981-02-22,1.26001,16.49223,0
1981-02-23,0.57045,16.72517,0
1981-02-24,0.12919,16.85423,0
1981-02-25,0.0604,16.582,0
1981-02-26,0.00503,16.3732,0
1981-02-27,2.51836,16.62063,0
1981-02-28,13.03984,17.31313,0
1981-03-01,4.33909,17.82403,0
1981-03-02,0.79851,17.99263,0
1981-03-03,2.19214,17.92737,0
1981-03-04,1.35094,17.56887,0
1981-03-05,0.23855,16.75443,0
1981-03-06,2.35535,16.25537,0
1981-03-07,11.00336,16.68093,0
1981-03-08,16.89182,17.6651,0
1981-03-09,8.8665,18.8696,0
1981-03-10,0.28124,18.59543,0
1981-03-11,0.84371,18.03743,0
1981-03-12,0.98182,16.87263,0
1981-03-13,0.03767,16.20707,0
1981-03-14,1.72006,15.80763,0
1981-03-15,1.33587,15.65323,0
1981-03-16,1.73262,16.05153,0
1981-03-17,15.98029,16.0692,0
1981-03-18,27.59635,15.6292,0
1981-03-19,0.59009,15.3306,0
1981-03-20,2.81488,15.68397,0
1981-03-21,8.19103,16.74517,0
1981-03-22,7.38749,17.3616,0
